	GSM461176_untreat_single_featureCounts.counts	GSM461177_untreat_paired_featureCounts.counts	GSM461178_untreat_paired_featureCounts.counts	GSM461182_untreat_single_featureCounts.counts	GSM461181_treat_paired_featureCounts.counts	GSM461180_treat_paired_featureCounts.counts	GSM461179_treat_single_featureCounts.counts
FBgn0262616	0	0	0	0	0	0	0
FBgn0053742	0	0	0	0	0	0	0
FBti0060283	1.00192517906965	0	0	0	0	0	0.524432254862352
FBgn0263852	1052.52240061267	816.670060787577	1077.40253503937	1125.00450298376	1075.15721925821	1078.81688690853	1127.52934795406
FBgn0031995	828.091160501067	748.225331883476	729.412153482223	825.003302188091	807.907372088642	768.021994281139	886.814942972237
FBgn0028888	4.50866330581343	6.22224808219107	3.03921730617593	0	1.23156611598878	2.98841242910949	4.71989029376116
FBti0019789	0	1.55556202054777	1.51960865308797	0	0	2.98841242910949	1.0488645097247
FBgn0031458	553.062698846447	574.002385582126	706.618023685904	759.169705346819	714.308347273495	702.27692084073	651.869292793903
FBgn0051827	0	0	0	0	0	0	0
FBgn0266309	62.6203236918532	56.0002327397196	63.8235634296945	40.8334967749661	46.7995124075738	52.2972175094161	55.0653867605469
FBgn0261925	0	0	0	0	0	0	0
FBgn0002673	85.1636402209203	102.667093356153	83.5784759198381	94.1670435830851	77.5886653072934	85.1697542296205	81.8114317585269
FBgn0032631	0	0	0	0	0	0	0.524432254862352
FBgn0032360	0	0	0	0	0	0	0.524432254862352
FBgn0031968	57.1097352069701	57.5557947602673	65.3431720827825	51.6668734703653	107.146252091024	86.6639604441752	96.4955348946727
FBgn0016920	29.0558301930199	4.6666860616433	3.03921730617593	4.1666833443843	1.23156611598878	2.98841242910949	28.8437740174293
FBgn0266166	0	0	0	0	0	0	0
FBgn0028704	42.5818201104602	31.1112404109553	25.8333471024954	41.666833443843	35.7154173636747	41.8377740075329	55.5898190154093
FBti0060156	4.50866330581343	15.5556202054777	13.6764778777917	3.33334667550744	17.241925623843	23.9072994328759	9.43978058752233
FBti0019194	0	0	0	0	0	0	0.524432254862352
FBti0019092	0.500962589534826	0	0	0	0	0	0.524432254862352
FBgn0031655	237.957230029042	199.111938630114	227.941297963195	261.667714027334	210.597805834082	236.08458189965	207.150740670629
FBgn0266877	2.50481294767413	0	0	0	0	0	9.43978058752233
FBgn0266823	0	0	0	0	0	0	0
FBgn0266155	0.500962589534826	0	0	0	0	0	0
FBgn0031395	204.392736530209	216.22312085614	194.50990759526	182.500730484032	237.692260385835	230.107757041431	250.154185569342
FBti0063585	0	0	0	0	0	0	0
FBgn0032680	3.50673812674378	0	1.51960865308797	2.50001000663058	0	1.49420621455475	1.57329676458705
FBti0019834	1.00192517906965	1.55556202054777	0	0.83333666887686	0	0	0.524432254862352
FBgn0051792	8.51636402209203	3.11112404109553	4.5588259592639	5.00002001326116	1.23156611598878	5.97682485821898	11.0130773521094
